Country,Total_Revenue
United Kingdom,6767873.394002574
Netherlands,284661.54000000015
EIRE,250285.21999999872
Germany,221698.20999999862
France,196712.8399999999
Australia,137077.26999999973
Switzerland,55739.40000000004
Spain,54774.57999999997
Belgium,40910.95999999998
Sweden,36595.91
Japan,35340.62
Norway,35163.46000000004
Portugal,29059.81
Finland,22326.73999999997
Channel Islands,20086.289999999957
Denmark,18768.140000000003
Italy,16890.510000000002
Cyprus,12946.289999999999
Austria,10154.319999999996
Singapore,9120.39
Poland,7213.139999999997
Israel,6994.249999999998
Greece,4710.5199999999995
Iceland,4309.999999999997
Canada,3666.380000000001
Unspecified,2667.0700000000006
Malta,2505.4700000000003
United Arab Emirates,1902.2800000000007
USA,1730.9200000000005
Lebanon,1693.8800000000003
Lithuania,1661.06
European Community,1291.75
Brazil,1143.6000000000001
RSA,1002.3099999999998
Czech Republic,707.72
Bahrain,548.4
Saudi Arabia,131.17
